,Unnamed: 0,FUND,CNT,SRC_UID,EOM
15940,15940,Phaethon aethereus,416,455157311,2019-12-31
15941,15941,Papio ursinus,981,409790534092,2019-12-31
15942,15942,Halcyon smyrnesis,1962,200109499869465,2019-12-31
15943,15943,Lepus townsendii,3,188703120510450,2019-12-31
15944,15944,Dasyurus viverrinus,50,206670754,2019-12-31
15945,15945,Pycnonotus barbatus,692,52096762037,2019-12-31
15946,15946,Gerbillus sp.,2130,186711785308213,2019-12-31
15947,15947,Bucephala clangula,335,737766433094,2019-12-31
15948,15948,Anthropoides paradisea,794,880923451687,2019-12-31
15949,15949,Varanus komodensis,604,880930580959,2019-12-31
15953,15953,Panthera pardus,384,656756747842,2019-12-31
15954,15954,Cordylus giganteus,578,108203096943,2019-12-31
15956,15956,Ursus arctos,435,189654246454691,2019-12-31
15957,15957,Axis axis,386,206670739,2019-12-31
15958,15958,Physignathus cocincinus,417,206670711,2019-12-31
15961,15961,Lamprotornis nitens,1265,656760542396,2019-12-31
15962,15962,Podargus strigoides,12,206670764,2019-12-31
15963,15963,Echimys chrysurus,797,537115818972,2019-12-31
15964,15964,Cereopsis novaehollandiae,1101,206670721,2019-12-31
15965,15965,Pelecanus occidentalis,436,206670734,2019-12-31
15966,15966,Mustela nigripes,254,1451747082532,2019-12-31
15969,15969,Ovis canadensis,2428,206670723,2019-12-31
15970,15970,Charadrius tricollaris,107,189669305873243,2019-12-31
15971,15971,Eumetopias jubatus,285,1540205459539,2019-12-31
15975,15975,Charadrius tricollaris,1189,189669305873243,2020-01-31
15976,15976,Boa constrictor mexicana,272,198188413318323,2020-01-31
15977,15977,Laniaurius atrococcineus,48,40234253942,2020-01-31
15978,15978,Phaethon aethereus,45,455157311,2020-01-31
15980,15980,Psophia viridis,1632,206670770,2020-01-31
15981,15981,Alcelaphus buselaphus cokii,2638,181701414249,2020-01-31
15983,15983,Megaderma spasma,3206,206670742,2020-01-31
15985,15985,Crotaphytus collaris,879,323418458,2020-01-31
15986,15986,Nucifraga columbiana,1022,40232932742,2020-01-31
15987,15987,Rangifer tarandus,557,36740368922,2020-01-31
15989,15989,Lepus townsendii,815,188703120510450,2020-01-31
15991,15991,Actophilornis africanus,2491,272675524722,2020-01-31
15992,15992,Petaurus breviceps,554,186494805556422,2020-01-31
15993,15993,Terathopius ecaudatus,154,210435370127300,2020-01-31
15994,15994,Felis wiedi or Leopardus weidi,2948,206670694,2020-01-31
15996,15996,Dicrostonyx groenlandicus,164,197463014939188,2020-01-31
15997,15997,Halcyon smyrnesis,8,200109499869465,2020-01-31
15998,15998,Choloepus hoffmani,452,186267307833917,2020-01-31
15999,15999,Sarkidornis melanotos,1186,108219608754,2020-01-31
16000,16000,Lutra canadensis,665,168720101925,2020-01-31
16001,16001,Centrocercus urophasianus,743,324918516,2020-01-31
16002,16002,Choriotis kori,1032,27160283895,2020-01-31
16004,16004,Rhea americana,1809,189669225079108,2020-01-31
16005,16005,Hystrix cristata,1385,192291882972375,2020-01-31
16006,16006,Podargus strigoides,1250,206670764,2020-01-31
16007,16007,Plegadis falcinellus,4884,181703187068,2020-01-31
16008,16008,Ardea cinerea,1573,206670715,2020-01-31
16009,16009,Isoodon obesulus,1656,189669356346606,2020-01-31
16010,16010,Eolophus roseicapillus,998,55902523917,2020-01-31
16013,16013,Actophilornis africanus,195,272675524722,2020-01-31
