,SRC_UID,EOM,WEIGHTED,COUNTRY,PSU,PSU_SCORE
1795,1320217138160,31.01.2013,0.897,U.S.A.,US,2.0
1796,438677131,31.01.2013,0.45899999999999996,U.S.A.,US,2.0
1797,188703129863464,31.01.2013,0.9995,RUSSIA,World,2.0
1798,656760542396,31.01.2013,0.4663,U.S.A.,US,2.0
1799,1477794168859,31.01.2013,0.1815,CHINA,China,2.0
1800,187875659113037,28.02.2013,0.447,U.S.A.,US,3.0
1801,275505523,31.03.2013,0.3458,UNITED KINGDOM,UK,2.0
1802,205119942384,28.02.2013,0.7312,FRANCE,Eurozone,3.0
1803,1320217138160,31.03.2013,0.941,U.S.A.,US,3.0
1804,182009288255,31.03.2013,0.3213,FRANCE,Eurozone,3.0
1805,438677176,31.07.2019,0.8048,SWITZERLAND,Switzerland,2.0
1806,369592842106,31.07.2012,0.557,U.S.A.,US,4.0
1807,269286596864,31.07.2012,0.909,U.S.A.,US,4.0
1808,323418458,31.07.2019,0.2258,SWITZERLAND,Switzerland,2.0
1809,40232932742,31.07.2019,0.7814,SWITZERLAND,Switzerland,2.0
1810,188703116701652,31.07.2012,0.998,INDIA,Emerging Asia (ex-China),3.0
1811,186761292782742,31.07.2012,0.271,FRANCE,Eurozone,4.0
1812,206670716,30.06.2013,0.3298,UNITED KINGDOM,UK,2.0
1813,188703124648158,31.07.2012,0.39299999999999996,CHINA,China,3.0
1814,186614022288995,31.07.2012,0.441,CHINA,China,3.0
1815,126094514515,31.07.2019,0.8621,SWITZERLAND,Switzerland,2.0
1816,206670770,31.05.2012,0.306,CHINA,China,3.0
1817,206670715,29.02.2012,0.174,CHINA,China,3.0
1818,206670716,29.02.2012,0.345,UNITED KINGDOM,UK,3.0
1819,437983596250,29.02.2012,0.9359999999999999,SWITZERLAND,Switzerland,3.0
1820,52079200642,31.08.2019,0.6282,U.S.A.,US,2.0
1821,1134069654772,29.02.2012,0.47700000000000004,U.S.A.,US,4.0
1822,269287883541,29.02.2012,1.0,JAPAN,Japan,4.0
1823,1521081543045,29.02.2012,0.27899999999999997,KUWAIT,EMEA,3.0
1824,206670716,31.08.2019,0.2491,UNITED KINGDOM,UK,2.0
1825,437983596250,31.03.2012,0.955,SWITZERLAND,Switzerland,3.0
1826,1134069654772,31.03.2012,0.49,U.S.A.,US,4.0
1827,269287883541,31.03.2012,0.998,JAPAN,Japan,4.0
1828,1521081543045,31.03.2012,0.282,KUWAIT,EMEA,3.0
1829,28283084613,29.02.2012,0.529,CHINA,China,3.0
1830,182009288255,31.08.2019,0.3556,FRANCE,Eurozone,3.0
1831,189395860675734,30.11.2012,0.36200000000000004,INDIA,Emerging Asia (ex-China),1.0
