,Unnamed: 0,MULTI_MANAGER_STRUCTURE,NAME,SOFTCLOSING,SRC_UID,RISK_LEVEL,DATE_SHARE,CNT_SHARE
79,79,1,Ourebia ourebi,0.0,206670693,Moderate risk,07.10.1997,44
81,81,1,Spilogale gracilis,0.0,186759829869822,High risk,10.09.2010,37
82,82,0,Ephippiorhynchus mycteria,0.0,52079200642,Moderate / high risk,05.04.2004,6
84,84,0,Hymenolaimus malacorhynchus,0.0,206670807,Moderate / high risk,27.10.1998,5
85,85,0,Merops nubicus,0.0,189669487573238,Moderate / high risk,19.03.2012,13
86,86,1,Bassariscus astutus,0.0,1134069654772,High risk,31.10.2008,24
87,87,0,Falco mexicanus,0.0,577020561372,Moderate / high risk,19.12.2007,4
88,88,1,Melursus ursinus,0.0,186761292782742,Moderate risk,28.06.2010,22
89,89,1,Butorides striatus,0.0,28283084613,High risk,26.05.2003,14
91,91,1,Oreamnos americanus,0.0,188703116701652,High risk,12.07.2011,12
92,92,1,Lorythaixoides concolor,0.0,206670771,High risk,26.06.1996,12
93,93,1,Amphibolurus barbatus,0.0,1489764652,Moderate / high risk,06.06.2002,21
94,94,1,Himantopus himantopus,0.0,206670686,Moderate / high risk,16.02.1999,22
95,95,0,Cabassous sp.,0.0,206670692,Moderate / high risk,24.09.1997,18
96,96,0,Francolinus leucoscepus,0.0,78217981906,High risk,29.10.2004,8
97,97,0,Macaca fuscata,0.0,188803777670426,Moderate risk,23.06.2011,15
98,98,0,Laniaurius atrococcineus,0.0,40234253942,Low / moderate risk,06.11.2003,5
99,99,0,Felis concolor,0.0,855792245768,Moderate risk,30.05.2008,5
100,100,0,Alouatta seniculus,0.0,40234001221,Moderate risk,06.11.2003,6
101,101,0,Tauraco porphyrelophus,0.0,69174547266,Moderate risk,30.07.2004,5
103,103,1,Myiarchus tuberculifer,0.0,188703112484212,High risk,12.07.2011,11
105,105,0,Chloephaga melanoptera,0.0,573917296406,Moderate risk,26.11.2007,2
107,107,0,Myrmecobius fasciatus,0.0,206670714,High risk,01.04.1999,4
109,109,0,Eubalaena australis,0.0,643851054259,High risk,28.05.2008,12
112,112,0,Paraxerus cepapi,0.0,191052547732494,High risk,12.07.2012,5
113,113,1,Vanellus sp.,0.0,194309785360951,Moderate risk,21.08.2013,21
114,114,0,Papio cynocephalus,0.0,206670762,Moderate / high risk,05.04.1993,1
115,115,0,Dasyurus viverrinus,0.0,206670754,Moderate / high risk,12.11.2000,3
116,116,1,Lycosa godeffroyi,0.0,880886802006,High risk,28.05.2009,17
117,117,1,Columba palumbus,0.0,1489765858,Moderate / high risk,06.06.2002,14
118,118,0,Cacatua tenuirostris,0.0,206670705,Moderate / high risk,15.10.1998,4
119,119,0,Deroptyus accipitrinus,0.0,1676124906944,Moderate / high risk,30.09.2009,14
120,120,1,Dendrocitta vagabunda,0.0,206670760,Moderate risk,18.08.1993,7
122,122,0,Anitibyx armatus,0.0,171293175119,Low / moderate risk,16.05.2006,5
123,123,0,Felis serval,0.0,171270176992,Low / moderate risk,16.05.2006,5
124,124,0,Pycnonotus barbatus,0.0,52096762037,Low / moderate risk,,2
125,125,0,Felis caracal,0.0,206670725,High risk,01.02.2000,1
127,127,0,Alligator mississippiensis,0.0,206670813,Moderate / high risk,18.02.2000,3
128,128,0,Macropus giganteus,0.0,206670810,High risk,18.02.2000,3
129,129,0,Phascogale calura,0.0,206670732,Moderate / high risk,10.03.2000,3
130,130,0,Dasyurus maculatus,0.0,206670733,Moderate / high risk,06.03.2000,3
131,131,0,Mazama gouazoubira,0.0,206670728,High risk,18.02.2000,3
132,132,0,Pelecanus occidentalis,0.0,206670734,High risk,18.02.2000,3
133,133,0,Graspus graspus,0.0,206670750,Moderate / high risk,31.07.2000,3
134,134,0,Camelus dromedarius,0.0,206670817,Low / moderate risk,18.02.2000,3
136,136,0,Tragelaphus strepsiceros,0.0,400089571,Moderate / high risk,31.12.2001,2
137,137,0,Eira barbata,0.0,206670827,Low / moderate risk,18.02.2000,3
138,138,1,Canis mesomelas,0.0,105401395916,High risk,31.05.2005,18
141,141,1,Eudyptula minor,0.0,1461078666,Moderate / high risk,30.09.2002,11
142,142,1,Ceratotherium simum,0.0,192290937586348,Moderate / high risk,30.11.2012,31
143,143,1,Upupa epops,1.0,203221423898215,High risk,07.10.2015,23
144,144,1,Spermophilus lateralis,0.0,188703129863464,High risk,12.07.2011,12
145,145,0,Tyto novaehollandiae,0.0,638750702637,High risk,11.01.2008,18
146,146,1,Geococcyx californianus,1.0,207934051132,High risk,31.10.2006,18
148,148,1,Suricata suricatta,0.0,880880278933,Moderate risk,16.06.2008,27
152,152,1,Bugeranus caruncalatus,0.0,206670690,Low risk,09.01.1998,10
155,155,0,Phaethon aethereus,0.0,455157311,Low risk,15.03.2002,6
156,156,1,Papio ursinus,0.0,409790534092,Low risk,06.07.2007,6
161,161,1,Gerbillus sp.,0.0,186711785308213,Moderate / high risk,12.05.2010,38
162,162,0,Bucephala clangula,0.0,737766433094,Low risk,14.03.2008,5
163,163,1,Anthropoides paradisea,0.0,880923451687,Low risk,16.06.2008,6
166,166,1,Varanus komodensis,0.0,880930580959,Low risk,16.06.2008,7
170,170,0,Ursus arctos,0.0,189654246454691,Moderate / high risk,25.11.2011,9
171,171,0,Axis axis,0.0,206670739,Moderate / high risk,13.03.2000,6
172,172,0,Physignathus cocincinus,1.0,206670711,High risk,13.01.1994,5
173,173,1,Lamprotornis nitens,0.0,656760542396,High risk,29.09.2008,17
174,174,0,Pseudoleistes virescens,0.0,206670772,Moderate / high risk,29.01.1996,1
176,176,0,Oncorhynchus nerka,0.0,206670691,Moderate / high risk,17.09.1997,5
181,181,1,Cereopsis novaehollandiae,0.0,206670721,Moderate / high risk,13.10.1999,24
184,184,0,Mustela nigripes,0.0,1451747082532,Low / moderate risk,26.02.2009,2
186,186,0,Varanus sp.,0.0,264126748256,Low risk,22.01.2007,2
188,188,0,Coracias caudata,0.0,206670697,Low / moderate risk,10.02.1992,1
189,189,1,Ovis canadensis,1.0,206670723,High risk,19.01.2000,19
190,190,0,Cercatetus concinnus,0.0,263029574593,Low / moderate risk,19.03.2007,9
192,192,0,Manouria emys,0.0,206670746,Moderate / high risk,29.01.1998,1
194,194,0,Hippotragus niger,0.0,460145818838,Low / moderate risk,07.09.2007,2
