,SRC_UID,EOM,WEIGHTED,COUNTRY,PSU
1924,188703120510450,31.12.2012,0.9697,CHINA,China
1925,205119942384,31.12.2012,0.7357,FRANCE,Eurozone
1926,189669356346606,31.08.2012,0.188,BRAZIL,Latin America
1927,63446153971,31.07.2012,0.23199999999999998,U.S.A.,US
1928,108392384369,30.04.2012,0.064,BRAZIL,Latin America
1929,181989439245,31.05.2013,0.7297,FRANCE,Eurozone
1930,205119942384,31.05.2013,0.7297,FRANCE,Eurozone
1931,301519260,31.05.2013,0.2977,U.S.A.,US
1932,460145818838,31.05.2013,0.2977,U.S.A.,US
1933,206670693,31.05.2013,0.0795,PHILIPPINES,Emerging Asia (ex-China)
1934,108392384369,31.05.2013,0.0795,PHILIPPINES,Emerging Asia (ex-China)
1935,206670698,31.05.2013,0.1656,ITALY,Eurozone
1936,269297001426,30.11.2012,0.905,U.S.A.,US
1937,196842445088146,31.08.2019,0.6501,U.S.A.,US
1938,196843241101444,31.08.2019,0.6505,U.S.A.,US
1939,188803777670426,30.06.2012,0.042,SAUDI ARABIA,EMEA
1940,103848517578,30.06.2012,0.385,U.S.A.,US
1941,159639695489,30.06.2012,0.447,U.S.A.,US
1942,188703120510450,31.05.2012,0.9540000000000001,CHINA,China
1943,206670727,31.05.2012,0.34299999999999997,UNITED KINGDOM,UK
1944,1477794168859,31.05.2012,0.175,CHINA,China
1945,92221420384,31.05.2012,0.389,U.S.A.,US
1946,755274358166,31.12.2019,0.3845,GERMANY,Eurozone
1947,737766433094,31.12.2019,0.3618,SWITZERLAND,Switzerland
1948,193339234544861,28.02.2013,0.14800000000000002,RUSSIA,World
1949,103848517578,31.01.2013,0.462,U.S.A.,US
1950,186614022288995,31.01.2013,0.38299999999999995,CHINA,China
1951,192291882972375,28.02.2013,0.14800000000000002,RUSSIA,World
1952,188703129863464,31.10.2011,0.9890000000000001,RUSSIA,World
1953,186759829869822,31.10.2011,0.40700000000000003,U.S.A.,US
1954,117163705630,31.10.2011,0.47,U.S.A.,US
1955,92221420384,31.10.2011,0.34600000000000003,U.S.A.,US
1956,63446153971,31.10.2011,0.22699999999999998,INDIA,Emerging Asia (ex-China)
1957,206670742,31.10.2011,0.8290000000000001,U.S.A.,US
1958,188703124648158,31.03.2012,0.34600000000000003,CHINA,China
1959,186614022288995,31.03.2012,0.586,CHINA,China
1960,188703129863464,30.11.2011,0.9990000000000001,RUSSIA,World
1961,187875659113037,31.10.2011,0.34299999999999997,U.S.A.,US
1962,206670715,28.02.2013,0.1975,CHINA,China
1963,1477794168859,28.02.2013,0.1796,CHINA,China
1964,206670694,28.02.2013,0.633,U.S.A.,US
1965,188703120510450,28.02.2013,0.9755,CHINA,China
1966,192290937586348,28.02.2013,0.4646,U.S.A.,US
1967,269297001426,28.02.2013,0.9094,U.S.A.,US
1968,187875659113037,31.12.2011,0.332,U.S.A.,US
1969,188703116701652,30.11.2011,1.0,INDIA,Emerging Asia (ex-China)
1970,186494805556422,31.12.2011,0.127,FRANCE,Eurozone
1971,218465821,31.10.2019,0.1857,SWITZERLAND,Switzerland
1972,369592842106,30.11.2011,0.536,U.S.A.,US
1973,189395860675734,31.12.2011,0.062,KOREA (REP.),Emerging Asia (ex-China)
1974,206670764,30.11.2011,0.665,RUSSIA,World
1975,1461078666,30.11.2011,0.285,UNITED KINGDOM,UK
1976,206670770,30.11.2011,0.287,CHINA,China
1977,108218596431,31.05.2013,0.1656,ITALY,Eurozone
1978,38326395382,31.05.2013,0.5061,U.S.A.,US
1979,1451747082532,31.05.2013,0.5061,U.S.A.,US
1980,206670722,31.05.2013,0.2118,FRANCE,Eurozone
1981,108219608754,31.05.2013,0.2118,FRANCE,Eurozone
1982,269289662016,31.03.2013,0.3962,UNITED KINGDOM,UK
1983,438677131,31.03.2013,0.4802,U.S.A.,US
1984,188703129863464,31.03.2013,0.9998,RUSSIA,World
1985,188703112484212,31.03.2013,0.5743,BRAZIL,Latin America
1986,437983596250,31.03.2013,0.9345,SWITZERLAND,Switzerland
1987,413976258580,31.03.2013,0.5529,U.S.A.,US
1988,189669356346606,31.03.2013,0.1826,BRAZIL,Latin America
1989,369592842106,31.03.2013,0.5529,U.S.A.,US
1990,1477794168859,31.03.2013,0.1753,CHINA,China
1991,1461078666,31.03.2013,0.2489,UNITED KINGDOM,UK
1992,206670722,31.05.2012,0.22399999999999998,FRANCE,Eurozone
1993,206670723,31.05.2012,0.452,U.S.A.,US
1994,186711785308213,31.05.2012,0.431,U.S.A.,US
1995,55902523917,31.12.2012,0.17800000000000002,CHINA,China
1996,105401395916,31.12.2012,0.431,U.S.A.,US
1997,103848517578,31.05.2012,0.39799999999999996,U.S.A.,US
1998,206670742,31.05.2012,0.851,U.S.A.,US
1999,656760542396,31.12.2012,0.456,U.S.A.,US
2000,188703129863464,31.12.2012,0.9988,RUSSIA,World
2001,269286596864,31.05.2012,0.909,U.S.A.,US
2002,63446153971,31.12.2012,0.22699999999999998,INDIA,Emerging Asia (ex-China)
2003,189395860675734,31.03.2012,0.145,HONG KONG,Emerging Asia (ex-China)
2004,206670716,30.04.2012,0.35600000000000004,UNITED KINGDOM,UK
2005,28283084613,31.03.2012,0.49,CHINA,China
2006,613346505712,30.04.2012,0.636,AUSTRALIA,Australia
2007,108392384369,29.02.2012,0.048,TURKEY,Emerging Asia (ex-China)
2008,206670693,29.02.2012,0.048,TURKEY,Emerging Asia (ex-China)
2009,206670715,31.10.2012,0.195,CHINA,China
2010,92221420384,30.09.2012,0.38,U.S.A.,US
2011,206670716,31.10.2012,0.3467,UNITED KINGDOM,UK
2012,189395860675734,31.10.2012,0.23800000000000002,INDIA,Emerging Asia (ex-China)
2013,656760542396,31.10.2012,0.47100000000000003,U.S.A.,US
2014,638750702637,31.10.2012,0.9402,RUSSIA,World
2015,206670723,31.10.2012,0.4423,U.S.A.,US
2016,182009288255,31.10.2012,0.3108,FRANCE,Eurozone
2017,189669356346606,31.10.2012,0.1863,BRAZIL,Latin America
2018,1477794168859,31.10.2012,0.1796,CHINA,China
2019,105401395916,31.10.2012,0.41,U.S.A.,US
2020,206670727,31.10.2012,0.3296,UNITED KINGDOM,UK
2021,613346505712,31.10.2012,0.6314,AUSTRALIA,Australia
2022,1461078666,31.10.2012,0.2575,UNITED KINGDOM,UK
2023,188703120510450,30.11.2011,0.948,CHINA,China
2024,206670727,30.11.2011,0.37,UNITED KINGDOM,UK
2025,1477794168859,30.11.2011,0.162,CHINA,China
2026,92221420384,30.11.2011,0.325,U.S.A.,US
2027,27160283895,28.02.2013,0.2791,ITALY,Eurozone
2028,108392362467,28.02.2013,0.2791,ITALY,Eurozone
2029,206670722,28.02.2013,0.2273,FRANCE,Eurozone
2030,108219608754,28.02.2013,0.2273,FRANCE,Eurozone
2031,186761292782742,28.02.2013,0.2725,FRANCE,Eurozone
2032,1540205570554,28.02.2013,0.2725,FRANCE,Eurozone
2033,108202450315,31.10.2019,0.1582,U.S.A.,US
2034,206670715,31.03.2013,0.1838,CHINA,China
2035,206670716,31.03.2013,0.3365,UNITED KINGDOM,UK
2036,36740368922,31.07.2019,0.7972,SWITZERLAND,Switzerland
2037,195788173009015,31.07.2019,0.1859,FRANCE,Eurozone
2038,525288498953,30.11.2012,0.5567,BRAZIL,Latin America
2039,27160283895,31.07.2019,0.1866,ITALY,Eurozone
2040,269297001426,31.07.2012,0.909,U.S.A.,US
2041,52079200642,31.07.2012,0.536,U.S.A.,US
2042,186759829869822,31.07.2012,0.452,U.S.A.,US
2043,638750702637,31.07.2012,0.95,RUSSIA,World
2044,186761292782742,31.07.2019,0.3157,U.S.A.,US
2045,206670764,31.12.2011,0.639,RUSSIA,World
2046,182009288255,31.07.2012,0.324,FRANCE,Eurozone
2047,206670770,31.12.2011,0.29,CHINA,China
2048,105401395916,31.07.2012,0.365,U.S.A.,US
2049,38326395382,31.07.2019,0.7126,U.S.A.,US
2050,206670707,30.04.2012,0.9009999999999999,U.S.A.,US
2051,272675524722,30.04.2012,0.461,U.S.A.,US
2052,186494805556422,30.06.2012,0.175,FRANCE,Eurozone
2053,269289662016,30.06.2012,0.414,UNITED KINGDOM,UK
2054,63446153971,30.06.2012,0.23399999999999999,U.S.A.,US
2055,413976258580,31.05.2012,0.563,U.S.A.,US
2056,455157311,31.12.2019,0.1578,FRANCE,Eurozone
2057,188703102004066,31.05.2012,0.998,BRAZIL,Latin America
2058,28283084613,30.04.2012,0.48100000000000004,CHINA,China
2059,182009288255,31.05.2012,0.32,FRANCE,Eurozone
2060,438677131,30.06.2012,0.5379999999999999,U.S.A.,US
2061,186614022288995,31.05.2012,0.528,CHINA,China
2062,880930580959,31.12.2019,0.4354,GERMANY,Eurozone
2063,189669396589741,31.05.2012,0.157,TAIWAN,Emerging Asia (ex-China)
2064,187875659113037,31.05.2012,0.385,U.S.A.,US
2065,1489765858,31.05.2012,0.622,AUSTRALIA,Australia
2066,269297001426,31.05.2012,0.909,U.S.A.,US
2067,52079200642,31.05.2012,0.541,U.S.A.,US
2068,757832579735,31.12.2019,0.3826,GERMANY,Eurozone
2069,206670742,31.10.2012,0.866,U.S.A.,US
2070,52079200642,31.10.2012,0.5271,U.S.A.,US
2071,275505523,31.10.2012,0.3352,UNITED KINGDOM,UK
2072,189669396589741,30.04.2012,0.153,CHINA,China
2073,187875659113037,30.04.2012,0.33799999999999997,U.S.A.,US
2074,1489765858,30.04.2012,0.637,AUSTRALIA,Australia
